Data;Selic
2019-02-07;6,4
2019-02-08;6,4
2019-02-11;6,4
2019-02-12;6,4
2019-02-13;6,4
2019-02-14;6,4
2019-02-15;6,4
2019-02-18;6,4
2019-02-19;6,4
2019-02-20;6,4
2019-02-21;6,4
2019-02-22;6,4
2019-02-25;6,4
2019-02-26;6,4
2019-02-27;6,4
2019-02-28;6,4
2019-03-01;6,4
2019-03-06;6,4
2019-03-07;6,4
2019-03-08;6,4
2019-03-11;6,4
2019-03-12;6,4
2019-03-13;6,4
2019-03-14;6,4
2019-03-15;6,4
2019-03-18;6,4
2019-03-19;6,4
2019-03-20;6,4
2019-03-21;6,4
2019-03-22;6,4
2019-03-25;6,4
2019-03-26;6,4
2019-03-27;6,4
2019-03-28;6,4
2019-03-29;6,4
2019-04-01;6,4
2019-04-02;6,4
2019-04-03;6,4
