cnpj;optante_simples;optante_simei
37265981000109;TRUE;TRUE
37294858000116;TRUE;FALSE
37311108000105;FALSE;FALSE
37319697000178;TRUE;TRUE
37354368000168;TRUE;TRUE
37373389000120;TRUE;TRUE
37387518000130;TRUE;TRUE
37390365000180;TRUE;TRUE
37396073000154;TRUE;TRUE
37415161000237;;
37429760000129;TRUE;TRUE
37441675000186;;
37481940000150;TRUE;TRUE
37482672000190;TRUE;TRUE
37499101000169;TRUE;TRUE
37501090000104;TRUE;FALSE
37554918000192;TRUE;FALSE
37599302000138;TRUE;TRUE
37658378000197;TRUE;FALSE
37672198000160;TRUE;TRUE
37682133000103;TRUE;TRUE
37693907000193;TRUE;TRUE
37707299000129;TRUE;TRUE
37720454000147;TRUE;TRUE
37726919000177;TRUE;TRUE
37755937000187;TRUE;TRUE
37796809000181;TRUE;TRUE
37865118000192;TRUE;TRUE
37896825000146;TRUE;TRUE
37897668000193;TRUE;FALSE
37902518000120;;
37904990000100;TRUE;TRUE
37908854000180;TRUE;TRUE
38017160000116;TRUE;TRUE
38059854000116;TRUE;TRUE
38060379000106;TRUE;TRUE
38076077000118;TRUE;FALSE
38084561000199;TRUE;FALSE
38099832000180;TRUE;FALSE
38107857000188;TRUE;TRUE
38139584000153;TRUE;TRUE
38160295000136;TRUE;TRUE
38161024000103;TRUE;TRUE
38168107000116;TRUE;TRUE
38193436000117;TRUE;FALSE
38313130000157;;
